d1: -31.7796, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -32.1857, 4.8768, -8.25466
d4: -26.0096, 3.94011, -3.12431
d1: -31.7466, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -32.156, 4.8768, -8.26918
d4: -26.0096, 3.9576, -3.09632
d1: -31.7154, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -32.128, 4.8768, -8.28289
d4: -26.0096, 3.97413, -3.06988
d1: -31.684, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -32.0998, 4.8768, -8.29669
d4: -26.0096, 3.99076, -3.04327
d1: -31.6518, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -32.0709, 4.8768, -8.31089
d4: -26.0096, 4.00786, -3.01591
d1: -31.6203, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -32.0426, 4.8768, -8.32475
d4: -26.0096, 4.02456, -2.98919
d1: -31.5887, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -32.0142, 4.8768, -8.33863
d4: -26.0096, 4.04129, -2.96242
d1: -31.5568, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -31.9856, 4.8768, -8.35268
d4: -26.0096, 4.05821, -2.93535
d1: -31.5249, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -31.9569, 4.8768, -8.36669
d4: -26.0096, 4.07509, -2.90834
d1: -31.493, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -31.9283, 4.8768, -8.3807
d4: -26.0096, 4.09198, -2.88132
d1: -31.4614, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -31.8999, 4.8768, -8.39462
d4: -26.0096, 4.10875, -2.85448
d1: -31.4298, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -31.8715, 4.8768, -8.40852
d4: -26.0096, 4.1255, -2.82769
d1: -31.3983, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -31.8432, 4.8768, -8.42239
d4: -26.0096, 4.14221, -2.80094
d1: -31.3666, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -31.8148, 4.8768, -8.43631
d4: -26.0096, 4.15898, -2.77412
d1: -31.3349, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -31.7863, 4.8768, -8.45027
d4: -26.0096, 4.17581, -2.74719
d1: -31.3033, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -31.7579, 4.8768, -8.46416
d4: -26.0096, 4.19253, -2.72042
d1: -31.2717, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -31.7295, 4.8768, -8.47808
d4: -26.0096, 4.20931, -2.69359
d1: -31.2399, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -31.701, 4.8768, -8.49204
d4: -26.0096, 4.22613, -2.66667
d1: -31.2083, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -31.6726, 4.8768, -8.50594
d4: -26.0096, 4.24288, -2.63988
d1: -31.1769, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -31.6444, 4.8768, -8.51978
d4: -26.0096, 4.25955, -2.61319
d1: -31.1455, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -31.6162, 4.8768, -8.53358
d4: -26.0096, 4.27619, -2.58658
d1: -31.114, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -31.5879, 4.8768, -8.54745
d4: -26.0096, 4.2929, -2.55984
d1: -31.0825, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -31.5597, 4.8768, -8.56127
d4: -26.0096, 4.30954, -2.53322
d1: -31.0511, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -31.5314, 4.8768, -8.57512
d4: -26.0096, 4.32623, -2.50651
d1: -31.0192, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -31.5028, 4.8768, -8.58913
d4: -26.0096, 4.34311, -2.4795
d1: -30.9875, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -31.4743, 4.8768, -8.60307
d4: -26.0096, 4.35992, -2.45262
d1: -30.9557, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -31.4457, 4.8768, -8.61708
d4: -26.0096, 4.37679, -2.42561
d1: -30.924, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -31.4173, 4.8768, -8.631
d4: -26.0096, 4.39356, -2.39878
d1: -30.8922, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -31.3887, 4.8768, -8.645
d4: -26.0096, 4.41043, -2.37178
d1: -30.8607, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -31.3604, 4.8768, -8.65885
d4: -26.0096, 4.42712, -2.34508
d1: -30.829, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -31.332, 4.8768, -8.67278
d4: -26.0096, 4.44391, -2.31823
d1: -30.7973, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -31.3035, 4.8768, -8.68672
d4: -26.0096, 4.4607, -2.29136
d1: -30.7644, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -31.274, 4.8768, -8.70119
d4: -26.0096, 4.47814, -2.26346
d1: -30.7329, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -31.2456, 4.8768, -8.71508
d4: -26.0096, 4.49488, -2.23668
d1: -30.7013, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -31.2173, 4.8768, -8.72898
d4: -26.0096, 4.51162, -2.20989
d1: -30.6698, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -31.189, 4.8768, -8.74283
d4: -26.0096, 4.52831, -2.18319
d1: -30.6381, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -31.1606, 4.8768, -8.75676
d4: -26.0096, 4.54509, -2.15634
d1: -30.6065, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -31.1321, 4.8768, -8.77068
d4: -26.0096, 4.56186, -2.12951
d1: -30.5748, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -31.1037, 4.8768, -8.78459
d4: -26.0096, 4.57862, -2.10268
d1: -30.5433, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -31.0754, 4.8768, -8.79846
d4: -26.0096, 4.59534, -2.07594
d1: -30.5103, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -31.0458, 4.8768, -8.81299
d4: -26.0096, 4.61284, -2.04794
d1: -30.4785, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -31.0172, 4.8768, -8.82697
d4: -26.0096, 4.62969, -2.02098
